avaliacao_id,aluno_id,disciplina,nota,data
1,1,Português,42.0,2024-03-15
2,1,Matemática,55.1,2024-03-15
3,1,Ciências,62.8,2024-03-15
4,1,História,85.8,2024-03-15
5,1,Geografia,77.1,2024-03-15
6,1,Português,88.0,2024-05-20
7,1,Matemática,37.1,2024-05-20
8,1,Ciências,38.4,2024-05-20
9,1,História,42.3,2024-05-20
10,1,Geografia,67.5,2024-05-20
11,1,Português,53.8,2024-08-25
12,1,Matemática,68.4,2024-08-25
13,1,Ciências,48.1,2024-08-25
14,1,História,66.9,2024-08-25
15,1,Geografia,70.5,2024-08-25
16,1,Português,39.7,2024-11-10
17,1,Matemática,56.7,2024-11-10
18,1,Ciências,56.2,2024-11-10
19,1,História,71.8,2024-11-10
20,1,Geografia,66.5,2024-11-10
21,2,Português,30.4,2024-03-15
22,2,Matemática,47.9,2024-03-15
23,2,Ciências,60.9,2024-03-15
24,2,História,62.3,2024-03-15
25,2,Geografia,69.0,2024-03-15
26,2,Português,54.7,2024-05-20
27,2,Matemática,36.1,2024-05-20
28,2,Ciências,72.5,2024-05-20
29,2,História,81.9,2024-05-20
30,2,Geografia,69.7,2024-05-20
31,2,Português,71.8,2024-08-25
32,2,Matemática,25.9,2024-08-25
33,2,Ciências,30.1,2024-08-25
34,2,História,48.9,2024-08-25
35,2,Geografia,61.5,2024-08-25
36,2,Português,55.9,2024-11-10
37,2,Matemática,29.4,2024-11-10
38,2,Ciências,71.6,2024-11-10
39,2,História,68.3,2024-11-10
40,2,Geografia,56.6,2024-11-10
41,3,Português,34.2,2024-03-15
42,3,Matemática,51.2,2024-03-15
43,3,Ciências,53.3,2024-03-15
44,3,História,81.6,2024-03-15
45,3,Geografia,55.0,2024-03-15
46,3,Português,37.7,2024-05-20
47,3,Matemática,29.5,2024-05-20
48,3,Ciências,88.2,2024-05-20
49,3,História,67.6,2024-05-20
50,3,Geografia,76.3,2024-05-20
51,3,Português,70.2,2024-08-25
52,3,Matemática,59.3,2024-08-25
53,3,Ciências,72.6,2024-08-25
54,3,História,44.6,2024-08-25
55,3,Geografia,48.3,2024-08-25
56,3,Português,95.4,2024-11-10
57,3,Matemática,32.7,2024-11-10
58,3,Ciências,74.0,2024-11-10
59,3,História,38.6,2024-11-10
60,3,Geografia,46.7,2024-11-10
61,4,Português,49.6,2024-03-15
62,4,Matemática,33.8,2024-03-15
63,4,Ciências,62.8,2024-03-15
64,4,História,66.7,2024-03-15
65,4,Geografia,72.4,2024-03-15
66,4,Português,56.6,2024-05-20
67,4,Matemática,29.9,2024-05-20
68,4,Ciências,59.6,2024-05-20
69,4,História,62.9,2024-05-20
70,4,Geografia,100.0,2024-05-20
71,4,Português,73.1,2024-08-25
72,4,Matemática,30.9,2024-08-25
73,4,Ciências,62.3,2024-08-25
74,4,História,84.9,2024-08-25
75,4,Geografia,44.8,2024-08-25
76,4,Português,58.5,2024-11-10
77,4,Matemática,44.6,2024-11-10
78,4,Ciências,66.0,2024-11-10
79,4,História,79.5,2024-11-10
80,4,Geografia,94.1,2024-11-10
81,5,Português,50.6,2024-03-15
82,5,Matemática,48.7,2024-03-15
83,5,Ciências,52.3,2024-03-15
84,5,História,80.8,2024-03-15
85,5,Geografia,66.9,2024-03-15
86,5,Português,50.2,2024-05-20
87,5,Matemática,41.4,2024-05-20
88,5,Ciências,66.3,2024-05-20
89,5,História,51.7,2024-05-20
90,5,Geografia,68.4,2024-05-20
91,5,Português,67.1,2024-08-25
92,5,Matemática,22.0,2024-08-25
93,5,Ciências,61.7,2024-08-25
94,5,História,53.3,2024-08-25
95,5,Geografia,78.3,2024-08-25
96,5,Português,31.1,2024-11-10
97,5,Matemática,49.5,2024-11-10
98,5,Ciências,85.2,2024-11-10
99,5,História,76.8,2024-11-10
100,5,Geografia,58.6,2024-11-10
101,6,Português,61.5,2024-03-15
102,6,Matemática,38.8,2024-03-15
103,6,Ciências,86.8,2024-03-15
104,6,História,89.5,2024-03-15
105,6,Geografia,67.3,2024-03-15
106,6,Português,78.6,2024-05-20
107,6,Matemática,37.4,2024-05-20
108,6,Ciências,77.9,2024-05-20
109,6,História,52.3,2024-05-20
110,6,Geografia,87.3,2024-05-20
111,6,Português,66.0,2024-08-25
112,6,Matemática,43.5,2024-08-25
113,6,Ciências,64.7,2024-08-25
114,6,História,70.1,2024-08-25
115,6,Geografia,75.2,2024-08-25
116,6,Português,66.0,2024-11-10
117,6,Matemática,47.6,2024-11-10
118,6,Ciências,74.3,2024-11-10
119,6,História,62.6,2024-11-10
120,6,Geografia,77.7,2024-11-10
121,7,Português,49.4,2024-03-15
122,7,Matemática,49.8,2024-03-15
123,7,Ciências,58.5,2024-03-15
124,7,História,59.3,2024-03-15
125,7,Geografia,66.4,2024-03-15
126,7,Português,58.8,2024-05-20
127,7,Matemática,52.5,2024-05-20
128,7,Ciências,80.2,2024-05-20
129,7,História,73.7,2024-05-20
130,7,Geografia,69.0,2024-05-20
131,7,Português,43.0,2024-08-25
132,7,Matemática,16.0,2024-08-25
133,7,Ciências,51.8,2024-08-25
134,7,História,54.4,2024-08-25
135,7,Geografia,46.1,2024-08-25
136,7,Português,18.0,2024-11-10
137,7,Matemática,19.7,2024-11-10
138,7,Ciências,71.3,2024-11-10
139,7,História,79.9,2024-11-10
140,7,Geografia,59.5,2024-11-10
141,8,Português,64.4,2024-03-15
142,8,Matemática,29.8,2024-03-15
143,8,Ciências,67.6,2024-03-15
144,8,História,70.7,2024-03-15
145,8,Geografia,62.7,2024-03-15
146,8,Português,43.5,2024-05-20
147,8,Matemática,40.9,2024-05-20
148,8,Ciências,73.7,2024-05-20
149,8,História,24.3,2024-05-20
150,8,Geografia,56.9,2024-05-20
151,8,Português,65.6,2024-08-25
152,8,Matemática,47.4,2024-08-25
153,8,Ciências,50.0,2024-08-25
154,8,História,63.9,2024-08-25
